date,text,pos_tagged
2022-09-29 23:52:00,러시아 핵 만지작,"[('러시아', 'Noun'), ('핵', 'Noun'), ('만지작', 'Adverb')]"
2022-09-29 23:50:00,반등 한번이 없냐,"[('반등', 'Noun'), ('한번', 'Noun'), ('이', 'Josa'), ('없냐', 'Adjective')]"
2022-09-29 23:47:00,그나마 네이버가,"[('그나마', 'Adverb'), ('네이버', 'Noun'), ('가', 'Josa')]"
2022-09-29 23:39:00,52주신저가,"[('52', 'Number'), ('주', 'Modifier'), ('신저', 'Noun'), ('가', 'Josa')]"
2022-09-29 23:24:00,개돼지님들 오늘도 희망회로 잘돌리셧니까,"[('개돼지', 'Noun'), ('님', 'Suffix'), ('들', 'Verb'), ('오늘', 'Noun'), ('도', 'Josa'), ('희망', 'Noun'), ('회로', 'Noun'), ('잘', 'VerbPrefix'), ('돌리', 'Verb'), ('셧', 'Noun'), ('니까', 'Josa')]"
2022-09-29 23:22:00,미국장,"[('미국', 'Noun'), ('장', 'Suffix')]"
2022-09-29 23:18:00,잠 못드는 밤,"[('잠', 'Noun'), ('못', 'VerbPrefix'), ('드는', 'Verb'), ('밤', 'Noun')]"
2022-09-29 22:58:00,폭락,"[('폭락', 'Noun')]"
2022-09-29 22:34:00,애초에 환율 10년 최고치인데,"[('애초', 'Noun'), ('에', 'Josa'), ('환율', 'Noun'), ('10년', 'Number'), ('최고', 'Noun'), ('치', 'Noun'), ('인데', 'Josa')]"
2022-09-29 22:27:00,삭제된 게시물의 답글평단 19만원 넘는 사람은,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글', 'Noun'), ('평단', 'Noun'), ('19만원', 'Number'), ('넘는', 'Verb'), ('사람', 'Noun'), ('은', 'Josa')]"
2022-09-29 21:28:00,니미,"[('니미', 'Noun')]"
2022-09-29 21:23:00,북한 미사일발사,"[('북한', 'Noun'), ('미사일', 'Noun'), ('발사', 'Noun')]"
2022-09-29 20:41:00,설만 13층까지  빠지는건가,"[('설', 'Noun'), ('만', 'Josa'), ('13', 'Number'), ('층', 'Noun'), ('까지', 'Josa'), ('빠지는', 'Verb'), ('건가', 'Noun')]"
2022-09-29 20:28:00,지하실고통 그만받고 4연상 베트남개발1 넘어와,"[('지하실', 'Noun'), ('고통', 'Noun'), ('그만', 'Adverb'), ('받고', 'Verb'), ('4', 'Number'), ('연상', 'Noun'), ('베트남', 'Noun'), ('개발', 'Noun'), ('1', 'Number'), ('넘어와', 'Verb')]"
2022-09-29 20:20:00,무조건 건들지마,"[('무조건', 'Noun'), ('건들', 'Adverb'), ('지마', 'Verb')]"
2022-09-29 20:00:00,미쳤어,"[('미쳤어', 'Adjective')]"
2022-09-29 19:47:00,국회들이 승인안해주면,"[('국회', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('승인', 'Noun'), ('안해', 'Noun'), ('주면', 'Verb')]"
2022-09-29 19:37:00,너희들의 선택 2찍들,"[('너희', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('선택', 'Noun'), ('2', 'Number'), ('찍', 'Noun'), ('들', 'Suffix')]"
2022-09-29 19:31:00,매수 취금이니,"[('매수', 'Noun'), ('취금', 'Noun'), ('이니', 'Josa')]"
2022-09-29 19:28:00,5만원이 딱이네,"[('5만원', 'Number'), ('이', 'Foreign'), ('딱이네', 'Adjective')]"
2022-09-29 19:27:00,주식 실패자 끝,"[('주식', 'Noun'), ('실패', 'Noun'), ('자', 'Suffix'), ('끝', 'Noun')]"
2022-09-29 19:24:00,55만주 상환햇네,"[('55만', 'Number'), ('주', 'Foreign'), ('상환', 'Noun'), ('햇', 'Noun'), ('네', 'Josa')]"
2022-09-29 19:23:00,빨리 건희누나랑 콜라보해야 주가가산다,"[('빨리', 'Adverb'), ('건희', 'Noun'), ('누나', 'Suffix'), ('랑', 'Josa'), ('콜라보', 'Noun'), ('해야', 'Verb'), ('주', 'Modifier'), ('가가', 'Noun'), ('산다', 'Noun')]"
2022-09-29 19:00:00,초절정고수,"[('초', 'Noun'), ('절정', 'Noun'), ('고수', 'Noun')]"
2022-09-29 18:56:00,네이버 망했나요,"[('네이버', 'Noun'), ('망했나요', 'Adjective')]"
2022-09-29 18:53:00,215000원 정찰보냈다가,"[('215000원', 'Number'), ('정찰', 'Noun'), ('보냈다가', 'Verb')]"
2022-09-29 18:51:00,솔직히 네이버가 비실거리는거 첨봄,"[('솔직히', 'Adjective'), ('네이버', 'Noun'), ('가', 'Josa'), ('비실', 'Noun'), ('거리', 'Noun'), ('는', 'Josa'), ('거', 'Noun'), ('첨', 'Adverb'), ('봄', 'Noun')]"
2022-09-29 18:47:00,소나기는 피하는게,"[('소나기', 'Noun'), ('는', 'Josa'), ('피', 'Noun'), ('하는게', 'Verb')]"
2022-09-29 18:45:00,너무 힘들다 진심,"[('너무', 'Adverb'), ('힘들다', 'Adjective'), ('진심', 'Noun')]"
2022-09-29 18:39:00,오늘 시외로 1 낮게,"[('오늘', 'Noun'), ('시외', 'Noun'), ('로', 'Josa'), ('1', 'Number'), ('낮게', 'Adjective')]"
2022-09-29 18:37:00,대표 바뀌고 최저치만 기록하네,"[('대표', 'Noun'), ('바뀌고', 'Verb'), ('최저', 'Noun'), ('치', 'Noun'), ('만', 'Josa'), ('기록', 'Noun'), ('하네', 'Verb')]"
2022-09-29 18:34:00,올해도 플랫폼 때리기온플법 재점화 예고에 네이버카카오 긴장,"[('올해', 'Noun'), ('도', 'Josa'), ('플랫폼', 'Noun'), ('때리', 'Verb'), ('기온', 'Noun'), ('플', 'Exclamation'), ('법', 'Noun'), ('재', 'Noun'), ('점화', 'Noun'), ('예고', 'Noun'), ('에', 'Josa'), ('네이버', 'Noun'), ('카카오', 'Noun'), ('긴장', 'Noun')]"
2022-09-29 18:23:00,삭제된 게시물의 답글못갈거 같은데,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글', 'Noun'), ('못', 'VerbPrefix'), ('갈거', 'Verb'), ('같은데', 'Adjective')]"
2022-09-29 18:12:00,개미님들 얼마에 물려,"[('개미', 'Noun'), ('님', 'Suffix'), ('들', 'Verb'), ('얼마', 'Noun'), ('에', 'Josa'), ('물려', 'Verb')]"
2022-09-29 18:03:00,이정도면 회사 망한거 아닌가요,"[('이', 'Determiner'), ('정도', 'Noun'), ('면', 'Josa'), ('회사', 'Noun'), ('망한거', 'Adjective'), ('아닌가요', 'Adjective')]"
2022-09-29 17:39:00,40에 사서 아직 홀딩 중이신 분 손,"[('40', 'Number'), ('에', 'Josa'), ('사서', 'Noun'), ('아직', 'Adverb'), ('홀딩', 'Noun'), ('중', 'Noun'), ('이신', 'Josa'), ('분', 'Noun'), ('손', 'Noun')]"
2022-09-29 17:32:00,방치하냐,"[('방치', 'Noun'), ('하냐', 'Verb')]"
2022-09-29 17:31:00,143000원 가자,"[('143000원', 'Number'), ('가자', 'Verb')]"
2022-09-29 17:12:00,자사주 매입 하여 소각좀 하자,"[('자', 'Noun'), ('사주', 'Noun'), ('매입', 'Noun'), ('하여', 'Verb'), ('소', 'Modifier'), ('각', 'Modifier'), ('좀', 'Noun'), ('하자', 'Noun')]"
2022-09-29 17:08:00,내글은 허풍이아니다,"[('내', 'Determiner'), ('글', 'Noun'), ('은', 'Josa'), ('허풍', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective')]"
2022-09-29 17:02:00,짜증나네 보합에 매수했는데,"[('짜증나네', 'Adjective'), ('보합', 'Noun'), ('에', 'Josa'), ('매수', 'Noun'), ('했는데', 'Verb')]"
2022-09-29 17:00:00,아직 멀었다 다음달엔,"[('아직', 'Adverb'), ('멀었다', 'Adjective'), ('다음', 'Noun'), ('달', 'Noun'), ('엔', 'Josa')]"
2022-09-29 16:51:00,내일 준비되셨나요,"[('내일', 'Noun'), ('준비', 'Noun'), ('되셨나요', 'Verb')]"
2022-09-29 16:48:00,20대30대 대표 상장주식들 볼 날이 오겠군요,"[('20', 'Number'), ('대', 'Verb'), ('30', 'Number'), ('대', 'Verb'), ('대표', 'Noun'), ('상장', 'Noun'), ('주식', 'Noun'), ('들', 'Suffix'), ('볼', 'Noun'), ('날', 'Noun'), ('이', 'Josa'), ('오겠군요', 'Verb')]"
2022-09-29 16:38:00,내일 네이버 배당락,"[('내일', 'Noun'), ('네이버', 'Noun'), ('배당', 'Noun'), ('락', 'Noun')]"
2022-09-29 16:37:00,8월3일 정리하길 잘했네요,"[('8월', 'Number'), ('3일', 'Number'), ('정리', 'Noun'), ('하길', 'Verb'), ('잘', 'VerbPrefix'), ('했네요', 'Verb')]"
2022-09-29 16:28:00,주식만 말고 계좌 전체 손실율이 다들 되시는지,"[('주식', 'Noun'), ('만', 'Josa'), ('말고', 'Josa'), ('계좌', 'Noun'), ('전체', 'Noun'), ('손실', 'Noun'), ('율', 'Noun'), ('이', 'Josa'), ('다', 'Adverb'), ('들', 'Verb'), ('되시는지', 'Verb')]"
2022-09-29 16:24:00,18만냥 지지할거라본다,"[('18만', 'Number'), ('냥', 'Foreign'), ('지지', 'Noun'), ('할거라', 'Verb'), ('본다', 'Verb')]"
2022-09-29 16:19:00,공매도 잘안망한다,"[('공매도', 'Noun'), ('잘', 'VerbPrefix'), ('안', 'VerbPrefix'), ('망한다', 'Adjective')]"
2022-09-29 16:15:00,공매도 놈들,"[('공매도', 'Noun'), ('놈', 'Noun'), ('들', 'Suffix')]"
