date,text,pos_tagged
2022-06-29 17:54:00,분쟁은 평화로운 대화로,"[('분쟁', 'Noun'), ('은', 'Josa'), ('평화로운', 'Adjective'), ('대화', 'Noun'), ('로', 'Josa')]"
2022-06-29 15:55:00,바닥 찍고 이제 올라가나 싶었더니 1년째 쳐 맞기만 했는데 고마 해라,"[('바닥', 'Noun'), ('찍고', 'Verb'), ('이제', 'Noun'), ('올라가나', 'Verb'), ('싶었더니', 'Verb'), ('1년', 'Number'), ('째', 'Foreign'), ('쳐', 'Verb'), ('맞기만', 'Verb'), ('했는데', 'Verb'), ('고마', 'Noun'), ('해', 'Noun'), ('라', 'Josa')]"
2022-06-29 14:46:00,네이버 오랜만에,"[('네이버', 'Noun'), ('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa')]"
2022-06-29 14:25:00,종과도한 남았다 빨리 빨리 올라가자,"[('종', 'Noun'), ('과도', 'Josa'), ('한', 'Determiner'), ('남았다', 'Verb'), ('빨리', 'Adverb'), ('빨리', 'Adverb'), ('올라가자', 'Verb')]"
2022-06-29 14:09:00,공매도가 많네,"[('공매도', 'Noun'), ('가', 'Josa'), ('많네', 'Adjective')]"
2022-06-29 13:52:00,가꼬 주식이 떨어지겠음미,"[('가꼬', 'Noun'), ('주식', 'Noun'), ('이', 'Josa'), ('떨어지겠', 'Verb'), ('음미', 'Noun')]"
2022-06-29 13:39:00,게이버 99000원에 아가리 쩌어어어어너어엌우,"[('게이', 'Noun'), ('버', 'Noun'), ('99000원', 'Number'), ('에', 'Foreign'), ('아가리', 'Noun'), ('쩌', 'Noun'), ('어어어어', 'Noun'), ('너', 'Noun'), ('어', 'Suffix'), ('엌', 'Noun'), ('우', 'Adverb')]"
2022-06-29 13:37:00,이미 죽었는데 만져봐야 서겠니,"[('이미', 'Adverb'), ('죽었는데', 'Verb'), ('만져', 'Verb'), ('봐야', 'Verb'), ('서겠니', 'Verb')]"
2022-06-29 13:24:00,네이버는,"[('네이버', 'Noun'), ('는', 'Josa')]"
2022-06-29 13:19:00,국제적 왕따 윤석열이,"[('국제', 'Noun'), ('적', 'Suffix'), ('왕따', 'Noun'), ('윤석열', 'Noun'), ('이', 'Josa')]"
2022-06-29 13:03:00,호구 들어오신다,"[('호구', 'Noun'), ('들어오신다', 'Verb')]"
2022-06-29 13:00:00,지금까지 견딘 주주들을 응원해야 거 아니냐,"[('지금', 'Noun'), ('까지', 'Josa'), ('견딘', 'Verb'), ('주주', 'Noun'), ('들', 'Suffix'), ('을', 'Josa'), ('응원', 'Noun'), ('해야', 'Verb'), ('거', 'Noun'), ('아니냐', 'Adjective')]"
2022-06-29 12:58:00,말좀 처 들으세요,"[('말좀', 'Noun'), ('처', 'Noun'), ('들으세요', 'Verb')]"
2022-06-29 12:22:00,개미새끼들아 팔지말아라,"[('개미', 'Noun'), ('새끼', 'Noun'), ('들', 'Suffix'), ('아', 'Josa'), ('팔지말아라', 'Verb')]"
2022-06-29 12:19:00,팔사람은 다 팔았다 이제는 올라가자,"[('팔', 'Modifier'), ('사람', 'Noun'), ('은', 'Josa'), ('다', 'Adverb'), ('팔았다', 'Verb'), ('이제', 'Noun'), ('는', 'Josa'), ('올라가자', 'Verb')]"
2022-06-29 11:46:00,평단가465000원,"[('평단', 'Noun'), ('가', 'Josa'), ('465000원', 'Number')]"
2022-06-29 11:45:00,새대표는 주가부양을 안하니 주주가 개돼지지,"[('새', 'Modifier'), ('대표', 'Noun'), ('는', 'Josa'), ('주', 'Modifier'), ('가부', 'Noun'), ('양', 'Suffix'), ('을', 'Josa'), ('안', 'VerbPrefix'), ('하니', 'Verb'), ('주주', 'Noun'), ('가', 'Josa'), ('개돼지', 'Noun'), ('지', 'Josa')]"
2022-06-29 10:10:00,NAVER 목표주가,"[('NAVER', 'Alpha'), ('목표', 'Noun'), ('주가', 'Noun')]"
2022-06-29 10:00:00,여기도 윤지옥이네,"[('여기', 'Noun'), ('도', 'Josa'), ('윤지', 'Noun'), ('옥', 'Noun'), ('이네', 'Josa')]"
2022-06-29 09:56:00,여윽시 호구개미  올라탔군,"[('여윽시', 'Noun'), ('호구', 'Noun'), ('개미', 'Noun'), ('올라탔군', 'Verb')]"
2022-06-29 09:53:00,5일선 지키고,"[('5일', 'Number'), ('선', 'Foreign'), ('지키고', 'Verb')]"
2022-06-29 09:43:00,윤팝콘이,"[('윤팝콘', 'Noun'), ('이', 'Josa')]"
2022-06-29 09:22:00,네이버심하다심해,"[('네이버', 'Noun'), ('심하다', 'Adjective'), ('심해', 'Noun')]"
2022-06-29 09:21:00,거품 가장심한 네이버다,"[('거품', 'Noun'), ('가장', 'Noun'), ('심한', 'Adjective'), ('네이버', 'Noun'), ('다', 'Josa')]"
2022-06-29 09:21:00,외국인 프로그램 쌍끌이 매수다,"[('외국인', 'Noun'), ('프로그램', 'Noun'), ('쌍끌이', 'Noun'), ('매수', 'Noun'), ('다', 'Josa')]"
2022-06-29 09:20:00,진짜,"[('진짜', 'Noun')]"
2022-06-29 09:20:00,3콤보면 계획통제경제에 전쟁준비하는게낫다,"[('3', 'Number'), ('콤보', 'Noun'), ('면', 'Josa'), ('계획', 'Noun'), ('통제', 'Noun'), ('경제', 'Noun'), ('에', 'Josa'), ('전쟁', 'Noun'), ('준비', 'Noun'), ('하는게', 'Verb'), ('낫다', 'Noun')]"
2022-06-29 09:17:00,현금 1조씩 쌓아놓고,"[('현금', 'Noun'), ('1조', 'Number'), ('씩', 'Foreign'), ('쌓아놓고', 'Verb')]"
2022-06-29 09:14:00,나스닥 오를땐 뭣 오르고 빠지면 폭포냐새 대표야 해라,"[('나스닥', 'Noun'), ('오를', 'Verb'), ('땐', 'Noun'), ('뭣', 'Noun'), ('오르고', 'Verb'), ('빠지면', 'Verb'), ('폭포', 'Noun'), ('냐', 'Josa'), ('새', 'Noun'), ('대표', 'Noun'), ('야', 'Josa'), ('해', 'Noun'), ('라', 'Josa')]"
2022-06-29 09:11:00,하반기 인플레이션이 둔화될 것이라는 3가지 근거,"[('하반기', 'Noun'), ('인플레이션', 'Noun'), ('이', 'Josa'), ('둔화', 'Noun'), ('될', 'Verb'), ('것', 'Noun'), ('이라는', 'Josa'), ('3', 'Number'), ('가지', 'Noun'), ('근거', 'Noun')]"
2022-06-29 09:12:00,삭제된 게시물의 답글가자 19만으로,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글', 'Noun'), ('가자', 'Verb'), ('19만', 'Number'), ('으로', 'Foreign')]"
2022-06-29 09:06:00,삭제된 게시물의 답글네이버 이거,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글', 'Noun'), ('네이버', 'Noun'), ('이', 'Determiner'), ('거', 'Noun')]"
2022-06-29 08:59:00,빨리 올라가자 여기는 대한민국이다,"[('빨리', 'Adverb'), ('올라가자', 'Verb'), ('여기는', 'Verb'), ('대한민국', 'Noun'), ('이다', 'Josa')]"
2022-06-29 08:56:00,뭐,"[('뭐', 'Noun')]"
2022-06-29 15:41:00,삭제된 게시물의 답글오늘 23만원 확정,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글', 'Noun'), ('오늘', 'Noun'), ('23만원', 'Number'), ('확정', 'Noun')]"
2022-06-29 07:59:00,성탄절이 토요일 일요일일 월요일을 대체공휴일로 지정해주세요,"[('성탄절', 'Noun'), ('이', 'Josa'), ('토요일', 'Noun'), ('일요', 'Noun'), ('일일', 'Noun'), ('월요일', 'Noun'), ('을', 'Josa'), ('대체공휴일', 'Noun'), ('로', 'Josa'), ('지정', 'Noun'), ('해주세요', 'Verb')]"
2022-06-29 09:08:00,성탄절이 토요일 일요일일 월요일을 대체공휴일로 지정해주세요,"[('성탄절', 'Noun'), ('이', 'Josa'), ('토요일', 'Noun'), ('일요', 'Noun'), ('일일', 'Noun'), ('월요일', 'Noun'), ('을', 'Josa'), ('대체공휴일', 'Noun'), ('로', 'Josa'), ('지정', 'Noun'), ('해주세요', 'Verb')]"
2022-06-29 07:47:00,사는순간 패가망신합니다,"[('사는', 'Verb'), ('순간', 'Noun'), ('패가망신', 'Noun'), ('합니다', 'Verb')]"
2022-06-29 07:31:00,공매  65만주,"[('공매', 'Noun'), ('65만', 'Number'), ('주', 'Foreign')]"
2022-06-29 06:07:00,콜건,"[('콜건', 'Noun')]"
2022-06-29 05:03:00,오늘 비가 많이 오네요,"[('오늘', 'Noun'), ('비', 'Noun'), ('가', 'Josa'), ('많이', 'Adverb'), ('오네요', 'Verb')]"
2022-06-28 23:35:00,윤팝콘,"[('윤', 'Noun'), ('팝콘', 'Noun')]"
2022-06-28 22:16:00,분쟁은 평화로운 대화로,"[('분쟁', 'Noun'), ('은', 'Josa'), ('평화로운', 'Adjective'), ('대화', 'Noun'), ('로', 'Josa')]"
2022-06-28 21:45:00,내일 빨리 도망가라,"[('내일', 'Noun'), ('빨리', 'Adverb'), ('도망가라', 'Verb')]"
2022-06-28 21:40:00,19만원까지 훤하네,"[('19만원', 'Number'), ('까지', 'Foreign'), ('훤하', 'Noun'), ('네', 'Josa')]"
2022-06-28 20:41:00,임금올리지말라,"[('임금', 'Noun'), ('올리지말라', 'Verb')]"
2022-06-28 19:13:00,대차수량 65만주,"[('대차', 'Noun'), ('수량', 'Noun'), ('65만', 'Number'), ('주', 'Foreign')]"
2022-06-28 17:19:00,윤팝콘,"[('윤', 'Noun'), ('팝콘', 'Noun')]"
2022-06-28 16:50:00,네이버 고고,"[('네이버', 'Noun'), ('고고', 'Noun')]"
2022-06-28 17:04:00,네이버 고고,"[('네이버', 'Noun'), ('고고', 'Noun')]"
2022-06-28 16:13:00,공매도,"[('공매도', 'Noun')]"
2022-06-28 15:51:00,227000원에 매도했는데,"[('227000원', 'Number'), ('에', 'Foreign'), ('매도', 'Noun'), ('했는데', 'Verb')]"
2022-06-28 15:31:00,35만원 오면 손절할게,"[('35만원', 'Number'), ('오면', 'Verb'), ('손절', 'Noun'), ('할게', 'Verb')]"
2022-06-28 15:24:00,동시호가 장난이겟지255000,"[('동시', 'Noun'), ('호가', 'Noun'), ('장난', 'Noun'), ('이', 'Josa'), ('겟', 'Noun'), ('지', 'Josa'), ('255000', 'Number')]"
2022-06-28 15:12:00,게이버 99000원에 애가뤼 개신나게 쩌어어어어너어엌우,"[('게이', 'Noun'), ('버', 'Noun'), ('99000원', 'Number'), ('에', 'Foreign'), ('애가', 'Noun'), ('뤼', 'Noun'), ('개신나게', 'Verb'), ('쩌', 'Noun'), ('어어어어', 'Noun'), ('너', 'Noun'), ('어', 'Suffix'), ('엌', 'Noun'), ('우', 'Adverb')]"
2022-06-28 16:14:00,게이버 99000원에 애가뤼 개신나게 쩌어어어어너어엌우,"[('게이', 'Noun'), ('버', 'Noun'), ('99000원', 'Number'), ('에', 'Foreign'), ('애가', 'Noun'), ('뤼', 'Noun'), ('개신나게', 'Verb'), ('쩌', 'Noun'), ('어어어어', 'Noun'), ('너', 'Noun'), ('어', 'Suffix'), ('엌', 'Noun'), ('우', 'Adverb')]"
2022-06-28 15:11:00,4거래일 연속 상승,"[('4', 'Number'), ('거래', 'Noun'), ('일', 'Noun'), ('연속', 'Noun'), ('상승', 'Noun')]"
2022-06-28 15:03:00,오늘종가은 255000원이다,"[('오늘', 'Noun'), ('종가', 'Noun'), ('은', 'Noun'), ('255000원', 'Number'), ('이다', 'Foreign')]"
2022-06-28 14:39:00,종가 도 남았다 힘 써보자,"[('종가', 'Noun'), ('도', 'Noun'), ('남았다', 'Verb'), ('힘', 'Noun'), ('써', 'Verb'), ('보자', 'Verb')]"
2022-06-28 14:13:00,국토부 네이버 MOU 체결했다,"[('국토부', 'Noun'), ('네이버', 'Noun'), ('MOU', 'Alpha'), ('체결', 'Noun'), ('했다', 'Verb')]"
2022-06-28 13:40:00,쭉 올라가자,"[('쭉', 'Noun'), ('올라가자', 'Verb')]"
2022-06-28 13:34:00,연기금,"[('연기금', 'Noun')]"
2022-06-28 13:05:00,반등시 빨리 현금화하라,"[('반등', 'Noun'), ('시', 'Noun'), ('빨리', 'Adverb'), ('현금화', 'Noun'), ('하', 'Suffix'), ('라', 'Josa')]"
2022-06-28 13:02:00,외국인 형님도 왔다 올라가자,"[('외국인', 'Noun'), ('형님', 'Noun'), ('도', 'Josa'), ('왔다', 'Verb'), ('올라가자', 'Verb')]"
